form,margin,weight,trajectory,pos_p95_mm,pos_max_mm,clear_min_mm,viol_frac,dev_rms_mm,dev_max_mm,solve_ms_med,solve_ms_p95,solve_ms_max,iters_mean,nonconv
soft,0.025,100.0,teleop_grasp,47.72529278000498,51.74624810465849,20.31121063232422,0.0,0.0516015999019146,0.49614447355270386,5.4790185240563005,33.04543656122405,49.85387099441141,12.15,0.0
soft,0.025,300.0,bimanual_parallel,0.11093044776623771,0.3442598212154163,19.52882194519043,0.0,0.0499032698571682,0.3442409336566925,4.39061553333886,9.028890985064207,12.143418018240482,4.033846153846154,0.0
soft,0.025,300.0,bimanual_tight,5.702583195300278,5.702911020227215,19.52882194519043,0.0,4.537100791931152,5.702964782714844,4.169649473624304,9.081683150725437,15.983951045200229,3.6753846153846155,0.0
soft,0.025,300.0,bimanual_handoff,0.21071941762738222,1.6775287177212688,19.53217315673828,0.0,0.13967253267765045,1.6775181293487549,4.353337979409844,11.826879391446708,68.60376795521006,5.645714285714286,0.0019047619047619048
soft,0.025,300.0,arms_converge,54.21653492086692,54.33420894881254,13.927884101867676,0.0,34.26740646362305,54.334205627441406,61.26506096916273,72.05036435625516,133.58566199894994,59.843636363636364,0.3836363636363636
soft,0.025,300.0,self_fold,41.90109501144247,42.35978779889497,18.26036262512207,0.0,0.3042066693305969,1.3855210542678833,5.67540101474151,68.2094129064353,78.60545895528048,21.91,0.051666666666666666
soft,0.025,300.0,teleop_grasp,47.08309534933371,51.69754866577617,19.527482986450195,0.0,15.848947525024414,51.63010787963867,5.467657989356667,36.44562506233342,86.30820899270475,12.623333333333333,0.0033333333333333335
soft,0.03,10.0,bimanual_parallel,0.0010548954309884128,0.0028821958416910317,19.528827667236328,0.0,0.00050125498091802,0.0029069732408970594,4.365794971818104,7.9883932863594955,12.487579020671546,3.7246153846153844,0.0
soft,0.03,10.0,bimanual_tight,1.0644552116445094,1.064514816589154,12.12858772277832,0.0,0.845676064491272,1.064561367034912,8.897022489691153,13.063479636912232,18.753395997919142,8.2,0.0
soft,0.03,10.0,bimanual_handoff,0.0041833204708672965,0.08994216250273955,14.049522399902344,0.0,0.013731740415096283,0.08988488465547562,4.386343993246555,11.767086200416088,68.08698299573734,5.609523809523809,0.0019047619047619048
